MsgID.LOCAL_POSITION,3510.8280000,-1.2552400,-75.0220337,-0.1512501
MsgID.LOCAL_VELOCITY,3510.8280000,-0.0000171,0.0000597,0.0000188
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924690,0.1820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3511.0780000,-1.2668074,-75.1140747,-0.1822153
MsgID.LOCAL_VELOCITY,3511.0780000,-0.0000339,0.0000570,0.0000152
MsgID.GLOBAL_POSITION,0.0000000,-122.3982969,37.7924697,0.2130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3511.3280000,-1.1927278,-74.9933167,-0.2136500
MsgID.LOCAL_VELOCITY,3511.3280000,-0.0000563,0.0000579,0.0000218
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982994,37.7924707,0.2410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3511.5780000,-1.0791242,-75.2129669,-0.2414044
MsgID.LOCAL_VELOCITY,3511.5780000,-0.0000476,0.0000567,0.0000119
MsgID.GLOBAL_POSITION,0.0000000,-122.3982996,37.7924709,0.2580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3511.8280000,-1.0595328,-75.2290268,-0.2586004
MsgID.LOCAL_VELOCITY,3511.8280000,-0.0000154,0.0000614,0.0000151
MsgID.GLOBAL_POSITION,0.0000000,-122.3982977,37.7924704,0.2630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3512.0790000,-1.1136098,-75.0629044,-0.2639499
MsgID.LOCAL_VELOCITY,3512.0790000,-0.0000059,0.0000736,0.0000171
MsgID.GLOBAL_POSITION,0.0000000,-122.3982967,37.7924702,0.2560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3512.3290000,-1.1319859,-74.9768448,-0.2560902
MsgID.LOCAL_VELOCITY,3512.3290000,-0.0000141,0.0000630,0.0000229
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982984,37.7924682,0.2350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3512.5790000,-1.3536744,-75.1224213,-0.2349677
MsgID.LOCAL_VELOCITY,3512.5790000,-0.0000469,0.0000579,0.0000149
MsgID.GLOBAL_POSITION,0.0000000,-122.3982978,37.7924695,0.2070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3512.8290000,-1.2160622,-75.0704422,-0.2074320
MsgID.LOCAL_VELOCITY,3512.8290000,-0.0000394,0.0000543,0.0000167
MsgID.GLOBAL_POSITION,0.0000000,-122.3982987,37.7924703,0.1710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3513.0800000,-1.1193472,-75.1464462,-0.1711762
MsgID.LOCAL_VELOCITY,3513.0800000,-0.0000473,0.0000515,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3983001,37.7924687,0.1380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3513.3300000,-1.2973974,-75.2745514,-0.1382598
MsgID.LOCAL_VELOCITY,3513.3300000,-0.0000401,0.0000534,0.0000145
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3983000,37.7924686,0.1030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3513.5810000,-1.3165798,-75.2690811,-0.1032501
MsgID.LOCAL_VELOCITY,3513.5810000,0.0000102,0.0000638,0.0000207
MsgID.GLOBAL_POSITION,0.0000000,-122.3982984,37.7924688,0.0800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3513.8310000,-1.2901425,-75.1251068,-0.0804235
MsgID.LOCAL_VELOCITY,3513.8310000,-0.0000719,0.0000495,0.0000167
MsgID.GLOBAL_POSITION,0.0000000,-122.3982966,37.7924704,0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3514.0810000,-1.1092483,-74.9642792,-0.0707528
MsgID.LOCAL_VELOCITY,3514.0810000,-0.0000155,0.0000619,0.0000134
MsgID.GLOBAL_POSITION,0.0000000,-122.3982966,37.7924695,0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3514.3310000,-1.2129954,-74.9593201,-0.0789741
MsgID.LOCAL_VELOCITY,3514.3310000,-0.0000427,0.0000612,0.0000227
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982980,37.7924699,0.1050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3514.5820000,-1.1672502,-75.0859833,-0.1052044
MsgID.LOCAL_VELOCITY,3514.5820000,-0.0000690,0.0000462,0.0000178
MsgID.GLOBAL_POSITION,0.0000000,-122.3982982,37.7924700,0.1370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3514.8330000,-1.1553113,-75.1060638,-0.1371602
MsgID.LOCAL_VELOCITY,3514.8330000,-0.0000136,0.0000634,0.0000177
MsgID.GLOBAL_POSITION,0.0000000,-122.3982987,37.7924681,0.1740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3515.0830000,-1.3686069,-75.1505127,-0.1744773
MsgID.LOCAL_VELOCITY,3515.0830000,-0.0000636,0.0000535,0.0000110
MsgID.GLOBAL_POSITION,0.0000000,-122.3982968,37.7924688,0.1990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3515.3330000,-1.2879831,-74.9839706,-0.1994613
MsgID.LOCAL_VELOCITY,3515.3330000,-0.0000643,0.0000559,0.0000184
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982978,37.7924693,0.2110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3515.5840000,-1.2391914,-75.0695114,-0.2116283
MsgID.LOCAL_VELOCITY,3515.5840000,-0.0000228,0.0000582,0.0000187
MsgID.GLOBAL_POSITION,0.0000000,-122.3982980,37.7924692,0.2040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3515.8340000,-1.2470815,-75.0859909,-0.2048652
MsgID.LOCAL_VELOCITY,3515.8340000,0.0000212,0.0000693,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3982973,37.7924688,0.1780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3516.0840000,-1.2899183,-75.0284729,-0.1783056
MsgID.LOCAL_VELOCITY,3516.0840000,-0.0000151,0.0000618,0.0000177
MsgID.GLOBAL_POSITION,0.0000000,-122.3982997,37.7924691,0.1420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3516.3350000,-1.2521625,-75.2391815,-0.1421694
MsgID.LOCAL_VELOCITY,3516.3350000,-0.0000636,0.0000562,0.0000136
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982992,37.7924693,0.0930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3516.5850000,-1.2394029,-75.1947784,-0.0939150
MsgID.LOCAL_VELOCITY,3516.5850000,-0.0000154,0.0000642,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3982974,37.7924693,0.0480000
